STATE/UT,Year,CRIME,Boys 7-12 Years,Girls 7-12 Years,Boys 12-16 Years,Girls 12-16 Years,Boys 16-18 Years,Girls 16-18 Years,Total for boys all Age Groups,Total for girls all Age Groups,Grand total
0.0,2005,0.0,3,0,68,2,125,0,196,2,198
0.0,2005,0.0,0,0,0,0,0,2,0,2,2
0.0,2005,0.0,0,0,10,0,15,1,25,1,26
0.0,2005,0.0,0,0,6,0,23,0,29,0,29
0.0,2005,0.0,0,0,2,2,0,10,2,12,14
0.0,2005,0.0,0,0,0,0,0,0,0,0,0
0.0,2005,0.0,0,0,2,0,3,0,5,0,5
0.0,2005,0.0,2,0,30,0,49,1,81,1,82
0.0,2005,0.0,73,1,547,16,721,61,1341,78,1419
0.0,2006,0.0,2,0,14,0,26,1,42,1,43
