Area_Name,Year,EPC_Cases_Cases_Acquitted,EPC_Cases_Cases_Convicted,EPC_Cases_Cases_Pending_for_Trial,EPC_Cases_Registered,EPC_Cases_Trial_Completed,EPC_Escapees_Re_Arrested_from_Lockup,EPC_Escapees_Re_Arrested_from_Others,EPC_FR_Submitted,EPC_Persons_Awarded_more_than_3_Years_Imprisonment,EPC_Persons_Awarded_upto_3_Years_Imprisonment,EPC_Persons_Cases_Acquitted,EPC_Persons_Cases_Convicted,EPC_Persons_Cases_Pending_for_Trial,EPC_Persons_Chargesheeted_for_Escape,EPC_Persons_Escaped,EPC_Persons_Escaped_from_Lockup,EPC_Persons_Escaped_Outside_the_Lockup,EPC_Persons_Escaped_Total,EPC_Persons_Trial_Completed
Chhattisgarh,2005,9.0,3.0,17.0,46.0,12.0,9.0,28.0,8.0,0.0,4.0,9.0,3.0,31.0,42.0,42.0,7.0,35.0,42.0,12.0
Karnataka,2005,0.0,3.0,10.0,29.0,3.0,1.0,14.0,6.0,1.0,2.0,0.0,3.0,11.0,13.0,31.0,3.0,28.0,31.0,3.0
Madhya Pradesh,2005,12.0,3.0,107.0,147.0,15.0,33.0,97.0,32.0,0.0,8.0,12.0,3.0,107.0,122.0,177.0,33.0,144.0,177.0,15.0
Bihar,2006,2.0,3.0,26.0,71.0,5.0,18.0,19.0,14.0,,9.0,2.0,5.0,37.0,45.0,91.0,25.0,66.0,91.0,7.0
Madhya Pradesh,2007,4.0,3.0,139.0,166.0,7.0,65.0,102.0,47.0,8.0,11.0,6.0,3.0,162.0,173.0,214.0,68.0,146.0,214.0,9.0
Gujarat,2008,0.0,3.0,34.0,58.0,3.0,5.0,32.0,10.0,1.0,2.0,0.0,3.0,40.0,44.0,69.0,5.0,64.0,69.0,3.0
Odisha,2008,3.0,3.0,28.0,54.0,6.0,13.0,26.0,6.0,0.0,0.0,4.0,3.0,28.0,17.0,59.0,15.0,44.0,59.0,7.0
Sikkim,2008,0.0,3.0,0.0,3.0,3.0,0.0,3.0,,,,0.0,3.0,,,3.0,3.0,,3.0,3.0
Tripura,2009,,3.0,,3.0,3.0,0.0,3.0,,,3.0,,3.0,,3.0,3.0,,3.0,3.0,3.0
West Bengal,2009,0.0,3.0,6.0,33.0,3.0,7.0,11.0,9.0,2.0,5.0,0.0,3.0,4.0,10.0,42.0,9.0,33.0,42.0,3.0
Himachal Pradesh,2010,2.0,3.0,45.0,14.0,5.0,6.0,12.0,9.0,1.0,2.0,2.0,3.0,55.0,10.0,15.0,0.0,15.0,15.0,5.0
Madhya Pradesh,2010,,3.0,123.0,129.0,3.0,21.0,119.0,126.0,0.0,3.0,,3.0,137.0,140.0,157.0,15.0,142.0,157.0,3.0
Punjab,2010,7.0,3.0,24.0,45.0,10.0,8.0,13.0,10.0,5.0,4.0,8.0,3.0,27.0,15.0,53.0,20.0,33.0,53.0,11.0
Chhattisgarh,2001,0.0,2.0,28.0,42.0,2.0,6.0,28.0,25.0,0.0,0.0,0.0,2.0,32.0,36.0,40.0,3.0,37.0,40.0,2.0
Delhi,2002,,2.0,4.0,14.0,2.0,,12.0,6.0,1.0,1.0,,2.0,4.0,8.0,14.0,,14.0,14.0,2.0
Meghalaya,2002,0.0,2.0,5.0,5.0,2.0,3.0,0.0,5.0,0.0,0.0,0.0,6.0,20.0,6.0,6.0,4.0,2.0,6.0,6.0
Tamil Nadu,2002,0.0,2.0,0.0,73.0,2.0,4.0,56.0,2.0,0.0,4.0,0.0,4.0,0.0,58.0,80.0,5.0,75.0,80.0,4.0
Himachal Pradesh,2003,0.0,2.0,16.0,9.0,2.0,2.0,5.0,3.0,1.0,1.0,1.0,4.0,23.0,8.0,9.0,1.0,8.0,9.0,5.0
Mizoram,2003,,2.0,1.0,3.0,2.0,1.0,3.0,,,,,3.0,1.0,4.0,4.0,1.0,3.0,4.0,3.0
Punjab,2003,0.0,2.0,34.0,88.0,2.0,11.0,52.0,34.0,0.0,1.0,0.0,2.0,51.0,56.0,109.0,14.0,95.0,109.0,2.0
Rajasthan,2003,,2.0,56.0,77.0,2.0,15.0,53.0,3.0,,2.0,,2.0,66.0,68.0,97.0,18.0,79.0,97.0,2.0
West Bengal,2004,0.0,2.0,16.0,27.0,2.0,3.0,11.0,2.0,0.0,2.0,0.0,2.0,16.0,18.0,30.0,5.0,25.0,30.0,2.0
Goa,2005,0.0,2.0,1.0,3.0,2.0,1.0,2.0,,,2.0,0.0,2.0,1.0,3.0,3.0,1.0,2.0,3.0,2.0
Himachal Pradesh,2005,2.0,2.0,2.0,15.0,4.0,9.0,4.0,10.0,0.0,2.0,2.0,2.0,2.0,10.0,15.0,1.0,14.0,15.0,4.0
Uttar Pradesh,2005,0.0,2.0,56.0,77.0,2.0,4.0,54.0,0.0,0.0,2.0,0.0,2.0,56.0,58.0,86.0,6.0,80.0,86.0,2.0
Kerala,2006,2.0,2.0,34.0,43.0,4.0,5.0,26.0,2.0,,2.0,2.0,2.0,34.0,38.0,44.0,5.0,39.0,44.0,4.0
West Bengal,2006,3.0,2.0,16.0,28.0,5.0,5.0,20.0,4.0,0.0,2.0,3.0,2.0,17.0,22.0,29.0,5.0,24.0,29.0,5.0
Chandigarh,2007,0.0,2.0,0.0,2.0,2.0,4.0,1.0,2.0,0.0,0.0,0.0,5.0,0.0,5.0,5.0,4.0,1.0,5.0,5.0
Gujarat,2007,0.0,2.0,29.0,70.0,2.0,14.0,30.0,16.0,0.0,3.0,0.0,2.0,38.0,62.0,84.0,36.0,48.0,84.0,2.0
