Area_Name,Year,AC01_No_of_cases_pending_investigation_from_previous_year,AC02_No_of_cases_registered_during_the_year,AC03_Total_No_of_cases_for_investigation_during_the_year,AC04_No_of_cases_investigated_during_the_year,AC05_No_of_cases_not_investigatedor_in_which_investigation_was_dropped_due_to_any_reason_during_the_year,AC06_No_of_cases_transferred_to_local_police_during_the_year,AC07_No_of_cases_declared_false_mistake_of_fact_or_of_law_or_non_cognizable_or_civil_in_nature,AC08_No_of_cases_in_which_charge_sheets_were_laid_during_the_year,AC09_No_of_cases_pending_departmental_sanction_for_prosecution_during_the_year,AC10_No_of_cases_sent_up_for_trial_and_also_reported_for_departmental_action_during_the_year,AC11_No_of_cases_reported_for_regular_departmental_action_during_the_year,AC12_No_of_cases_reported_for_suitable_action_during_the_year,AC13_No_of_cases_in_which_charge_sheets_were_not_laid_but_final_report_submitted_during_the_year,AC14_No_of_cases_pending_investigation_at_the_end_of_the_year,AC15_No_of_cases_resulted_in_recoveries_or_seizures_during_the_year,AC16_Value_of_property_recoveredseized_during_the_year_in_Rs,AC17_Percentage_of_cases_charge_sheeted_to_total_cases_investigated,AC18_No_of_cases_pending_trial_from_the_previous_year,AC19_No_of_cases_sent_up_for_trial_during_the_year,AC20_Total_No_of_cases_for_trial_during_the_year,AC21_No_of_cases_withdrawn_or_other_wise_disposed_off_on_account_of_death_of_the_accused_during_the_year,AC22_No_of_cases_in_which_trials_were_completed_during_the_year,AC23_No_of_cases_convicted_during_the_year,AC24_No_of_cases_acquitted_or_discharged_during_the_year,AC25_No_of_cases_pending_trial_at_the_end_of_the_year,AC26_Percentage_of_cases_convicted_to_cases_in_which_trials_were_completed_during_the_year,AC27_Total_amount_of_fine_imposed_during_the_year_in_Rs
Uttar Pradesh,2007,115.0,129.0,244.0,244.0,0.0,0.0,0.0,126.0,43.0,55.0,1.0,0.0,5.0,88.0,0.0,0.0,0.0,360.0,126.0,486.0,1.0,15.0,1.0,15.0,470.0,0.0,0.0
Bihar,2009,129.0,129.0,258.0,258.0,0.0,0.0,0.0,114.0,98.0,0.0,0.0,0.0,0.0,175.0,97.0,78855653.0,0.0,763.0,114.0,877.0,2.0,5.0,3.0,2.0,870.0,50.0,12000.0
Tamil Nadu,2005,264.0,128.0,392.0,392.0,0.0,0.0,0.0,19.0,54.0,53.0,21.0,3.0,54.0,262.0,0.0,2005371.0,0.0,134.0,19.0,153.0,0.0,5.0,5.0,0.0,148.0,0.0,28000.0
Kerala,2007,521.0,128.0,649.0,649.0,0.0,0.0,29.0,118.0,24.0,4.0,19.0,4.0,40.0,476.0,8.0,0.0,0.0,481.0,118.0,599.0,6.0,68.0,47.0,21.0,529.0,0.0,2020200.0
Haryana,2009,233.0,128.0,359.0,283.0,0.0,0.0,9.0,133.0,14.0,55.0,0.0,0.0,26.0,196.0,30.0,165100.0,0.0,779.0,150.0,929.0,3.0,325.0,66.0,234.0,656.0,0.0,736750.0
Uttar Pradesh,2001,28.0,122.0,150.0,122.0,1.0,0.0,0.0,51.0,65.0,25.0,1.0,0.0,7.0,155.0,3.0,21000.0,0.0,147.0,51.0,198.0,2.0,3.0,0.0,3.0,193.0,0.0,0.0
Kerala,2006,531.0,122.0,653.0,653.0,1.0,0.0,19.0,75.0,20.0,2.0,11.0,19.0,18.0,521.0,5.0,0.0,0.0,441.0,75.0,516.0,1.0,34.0,25.0,9.0,481.0,0.0,1577000.0
Bihar,2008,86.0,116.0,202.0,202.0,1.0,0.0,0.0,88.0,70.0,0.0,0.0,0.0,0.0,129.0,80.0,8679253.0,0.0,684.0,88.0,772.0,0.0,9.0,8.0,1.0,763.0,0.0,23000.0
Madhya Pradesh,2004,265.0,111.0,376.0,376.0,0.0,0.0,0.0,283.0,186.0,0.0,5.0,0.0,20.0,107.0,7.0,31286758.0,75.0,508.0,283.0,791.0,4.0,151.0,65.0,86.0,636.0,43.0,2392988.0
Haryana,2001,135.0,110.0,245.0,239.0,53.0,1.0,9.0,77.0,27.0,61.0,0.0,0.0,11.0,102.0,21.0,1045500.0,0.0,319.0,77.0,396.0,19.0,34.0,4.0,30.0,343.0,0.0,15000.0
Himachal Pradesh,2010,296.0,110.0,406.0,406.0,0.0,0.0,7.0,139.0,25.0,0.0,0.0,0.0,21.0,259.0,64.0,20280810.0,0.0,373.0,139.0,512.0,8.0,62.0,10.0,52.0,442.0,0.0,268500.0
Tamil Nadu,2006,262.0,109.0,371.0,371.0,4.0,0.0,0.0,9.0,12.0,28.0,103.0,2.0,46.0,216.0,61.0,1424728.0,0.0,148.0,9.0,157.0,1.0,14.0,1.0,13.0,142.0,0.0,6000.0
Haryana,2004,228.0,108.0,336.0,246.0,0.0,0.0,10.0,123.0,16.0,84.0,0.0,0.0,18.0,199.0,27.0,83900.0,0.0,496.0,123.0,619.0,3.0,87.0,22.0,65.0,529.0,0.0,163800.0
Madhya Pradesh,2010,132.0,107.0,239.0,239.0,0.0,0.0,0.0,78.0,12.0,0.0,0.0,0.0,4.0,145.0,25.0,25659477.0,0.0,256.0,78.0,334.0,4.0,45.0,17.0,24.0,289.0,45.9,5071000.0
Punjab,2010,369.0,107.0,476.0,264.0,12.0,2.0,13.0,182.0,76.0,53.0,0.0,15.0,79.0,210.0,33.0,371810.0,0.0,912.0,182.0,1094.0,8.0,277.0,89.0,188.0,809.0,0.0,596600.0
Bihar,2006,227.0,104.0,331.0,331.0,0.0,1.0,0.0,69.0,60.0,0.0,0.0,0.0,15.0,220.0,70.0,25359911.0,0.0,372.0,69.0,443.0,1.0,1.0,1.0,0.0,440.0,0.0,0.0
Uttar Pradesh,2006,74.0,100.0,174.0,174.0,0.0,0.0,0.0,59.0,35.0,25.0,2.0,0.0,12.0,115.0,0.0,0.0,0.0,320.0,59.0,379.0,1.0,18.0,0.0,18.0,360.0,0.0,0.0
Madhya Pradesh,2009,84.0,100.0,184.0,184.0,0.0,0.0,0.0,48.0,13.0,0.0,0.0,0.0,1.0,132.0,15.0,22810819.0,0.0,250.0,48.0,298.0,3.0,39.0,26.0,13.0,256.0,66.6,1371500.0
Bihar,2010,175.0,99.0,274.0,274.0,3.0,0.0,0.0,99.0,97.0,0.0,0.0,0.0,0.0,185.0,74.0,35216711.0,0.0,870.0,99.0,969.0,1.0,12.0,10.0,2.0,956.0,90.0,593200.0
Tamil Nadu,2002,130.0,97.0,227.0,227.0,0.0,0.0,2.0,14.0,0.0,106.0,26.0,8.0,111.0,116.0,18.0,405148.0,0.0,137.0,14.0,151.0,0.0,36.0,30.0,6.0,115.0,0.0,124200.0
Himachal Pradesh,2008,227.0,95.0,322.0,322.0,0.0,0.0,11.0,59.0,26.0,8.0,0.0,0.0,27.0,242.0,35.0,4130433.0,0.0,267.0,59.0,373.0,2.0,42.0,12.0,30.0,329.0,0.0,77000.0
Karnataka,2003,140.0,93.0,233.0,233.0,0.0,1.0,16.0,43.0,34.0,0.0,0.0,0.0,0.0,139.0,30.0,600250.0,0.0,1051.0,43.0,1094.0,20.0,186.0,19.0,167.0,888.0,0.0,312664.0
Tamil Nadu,2004,228.0,93.0,321.0,321.0,0.0,0.0,0.0,14.0,10.0,10.0,7.0,0.0,27.0,264.0,27.0,23278250.0,0.0,124.0,14.0,138.0,0.0,4.0,2.0,2.0,134.0,0.0,116000.0
Uttar Pradesh,2008,88.0,85.0,173.0,173.0,0.0,0.0,0.0,94.0,28.0,56.0,0.0,0.0,18.0,84.0,0.0,0.0,0.0,470.0,94.0,564.0,0.0,16.0,3.0,13.0,548.0,0.0,0.0
Jammu & Kashmir,2006,151.0,84.0,235.0,116.0,0.0,0.0,0.0,93.0,42.0,0.0,5.0,0.0,92.0,119.0,27.0,12941312.0,0.0,324.0,93.0,417.0,1.0,73.0,8.0,65.0,343.0,0.0,4025000.0
Delhi,2006,155.0,82.0,237.0,83.0,1.0,0.0,0.0,82.0,25.0,43.0,88.0,0.0,1.0,152.0,55.0,1019200.0,0.0,350.0,82.0,432.0,5.0,38.0,29.0,9.0,389.0,0.0,491000.0
Jammu & Kashmir,2007,119.0,81.0,200.0,111.0,0.0,0.0,24.0,89.0,51.0,0.0,1.0,0.0,53.0,89.0,27.0,69633814.0,0.0,343.0,89.0,432.0,1.0,39.0,4.0,35.0,392.0,0.0,36000.0
Haryana,2010,196.0,79.0,275.0,204.0,0.0,5.0,4.0,99.0,34.0,31.0,0.0,0.0,19.0,184.0,29.0,97000.0,0.0,656.0,99.0,755.0,5.0,226.0,72.0,154.0,524.0,0.0,458800.0
Jharkhand,2002,65.0,78.0,143.0,65.0,0.0,0.0,0.0,65.0,21.0,141.0,0.0,0.0,0.0,65.0,65.0,1877992.0,0.0,80.0,84.0,164.0,0.0,0.0,0.0,0.0,65.0,0.0,0.0
Delhi,2003,81.0,77.0,158.0,46.0,0.0,0.0,0.0,46.0,10.0,17.0,43.0,0.0,0.0,112.0,41.0,75342.0,0.0,348.0,46.0,394.0,3.0,31.0,8.0,23.0,360.0,0.0,80000.0
Karnataka,2004,139.0,77.0,216.0,216.0,4.0,1.0,2.0,60.0,82.0,0.0,7.0,0.0,0.0,142.0,77.0,91050.0,0.0,888.0,60.0,948.0,0.0,265.0,41.0,224.0,683.0,0.0,318500.0
Jammu & Kashmir,2003,290.0,73.0,363.0,107.0,0.0,0.0,0.0,16.0,29.0,0.0,52.0,0.0,75.0,298.0,0.0,0.0,0.0,415.0,16.0,431.0,3.0,51.0,4.0,41.0,377.0,0.0,10000.0
Jharkhand,2010,64.0,71.0,135.0,41.0,0.0,0.0,0.0,41.0,0.0,0.0,0.0,0.0,0.0,94.0,41.0,4154001.0,0.0,48.0,93.0,71.0,0.0,0.0,1.0,1.0,48.0,0.0,0.0
Delhi,2001,111.0,70.0,181.0,181.0,0.0,0.0,4.0,89.0,9.0,44.0,74.0,0.0,4.0,84.0,58.0,116044.0,0.0,311.0,89.0,400.0,1.0,61.0,4.0,57.0,338.0,0.0,2000.0
Jammu & Kashmir,2010,157.0,70.0,227.0,73.0,2.0,0.0,6.0,58.0,31.0,0.0,3.0,0.0,24.0,154.0,22.0,586120.0,0.0,431.0,58.0,489.0,3.0,15.0,4.0,11.0,470.0,0.0,72000.0
Himachal Pradesh,2007,245.0,66.0,315.0,315.0,0.0,0.0,32.0,57.0,23.0,8.0,4.0,4.0,40.0,209.0,18.0,687844.0,0.0,276.0,80.0,356.0,0.0,16.0,1.0,14.0,299.0,0.0,10000.0
Jammu & Kashmir,2005,213.0,65.0,278.0,127.0,0.0,1.0,0.0,44.0,33.0,0.0,26.0,0.0,184.0,151.0,5.0,12015400.0,0.0,317.0,44.0,361.0,5.0,32.0,9.0,23.0,324.0,0.0,771000.0
Delhi,2004,112.0,62.0,174.0,30.0,0.0,0.0,0.0,30.0,19.0,14.0,40.0,0.0,3.0,144.0,43.0,127555.0,0.0,360.0,30.0,390.0,3.0,40.0,18.0,22.0,347.0,0.0,123000.0
Delhi,2005,144.0,61.0,205.0,53.0,2.0,0.0,1.0,50.0,21.0,17.0,64.0,0.0,3.0,155.0,46.0,156524.0,0.0,347.0,50.0,397.0,5.0,42.0,18.0,24.0,350.0,0.0,198500.0
Jammu & Kashmir,2009,185.0,61.0,246.0,89.0,0.0,0.0,6.0,40.0,36.0,0.0,1.0,32.0,32.0,157.0,30.0,110070.0,0.0,428.0,40.0,468.0,3.0,34.0,11.0,23.0,431.0,0.0,1285000.0
Delhi,2002,84.0,56.0,140.0,58.0,1.0,1.0,1.0,53.0,12.0,20.0,74.0,0.0,5.0,81.0,44.0,173906.0,0.0,338.0,53.0,391.0,2.0,41.0,12.0,29.0,348.0,0.0,87200.0
Jammu & Kashmir,2002,317.0,56.0,373.0,122.0,0.0,5.0,0.0,43.0,41.0,0.0,34.0,0.0,41.0,290.0,0.0,0.0,35.2,394.0,43.0,437.0,1.0,21.0,1.0,20.0,415.0,4.5,2000.0
Chhattisgarh,2002,108.0,55.0,163.0,157.0,0.0,0.0,0.0,52.0,43.0,0.0,0.0,0.0,4.0,107.0,45.0,215572.0,0.0,159.0,52.0,211.0,2.0,61.0,32.0,29.0,148.0,0.0,347000.0
Himachal Pradesh,2003,150.0,55.0,205.0,205.0,0.0,0.0,0.0,27.0,16.0,14.0,1.0,0.0,26.0,152.0,18.0,49900.0,0.0,88.0,27.0,115.0,1.0,32.0,4.0,28.0,82.0,0.0,30000.0
Jammu & Kashmir,2008,89.0,52.0,141.0,57.0,0.0,0.0,10.0,62.0,31.0,0.0,2.0,0.0,34.0,84.0,9.0,800247.0,0.0,392.0,62.0,454.0,1.0,25.0,69.0,19.0,428.0,0.0,260675.0
Delhi,2007,152.0,51.0,203.0,60.0,13.0,0.0,0.0,47.0,21.0,24.0,40.0,0.0,13.0,145.0,34.0,94900.0,0.0,389.0,47.0,436.0,0.0,65.0,38.0,27.0,371.0,0.0,644500.0
Madhya Pradesh,2007,49.0,49.0,98.0,98.0,0.0,0.0,0.0,83.0,13.0,0.0,1.0,0.0,3.0,57.0,2.0,1237555.0,0.0,396.0,83.0,479.0,6.0,129.0,85.0,44.0,344.0,66.0,1151343.0
Chhattisgarh,2009,85.0,49.0,134.0,131.0,0.0,0.0,0.0,31.0,22.0,0.0,0.0,0.0,5.0,116.0,49.0,1508500.0,0.0,118.0,31.0,149.0,2.0,16.0,3.0,13.0,131.0,0.0,15000.0
Chhattisgarh,2010,116.0,49.0,165.0,152.0,0.0,0.0,0.0,24.0,27.0,0.0,0.0,0.0,4.0,132.0,48.0,24154236.0,0.0,131.0,24.0,155.0,3.0,8.0,4.0,4.0,144.0,0.0,11000.0
Jammu & Kashmir,2001,308.0,48.0,356.0,125.0,0.0,7.0,0.0,38.0,35.0,0.0,45.0,0.0,0.0,317.0,0.0,0.0,30.4,391.0,38.0,429.0,3.0,33.0,5.0,28.0,393.0,15.0,67000.0
Himachal Pradesh,2005,133.0,48.0,181.0,181.0,0.0,0.0,0.0,39.0,20.0,12.0,1.0,0.0,9.0,133.0,20.0,94000.0,0.0,80.0,39.0,119.0,1.0,18.0,5.0,13.0,100.0,0.0,82000.0
Chhattisgarh,2006,57.0,48.0,105.0,85.0,0.0,0.0,0.0,25.0,25.0,0.0,0.0,0.0,1.0,88.0,44.0,21288440.0,0.0,127.0,25.0,152.0,0.0,18.0,5.0,13.0,134.0,0.0,27500.0
Uttar Pradesh,2009,84.0,48.0,132.0,132.0,0.0,0.0,0.0,51.0,23.0,23.0,0.0,0.0,5.0,91.0,0.0,0.0,0.0,548.0,51.0,599.0,0.0,13.0,6.0,7.0,586.0,0.0,0.0
Himachal Pradesh,2001,151.0,45.0,196.0,196.0,0.0,3.0,0.0,30.0,30.0,25.0,0.0,2.0,13.0,149.0,6.0,43497.0,0.0,74.0,30.0,104.0,0.0,20.0,4.0,16.0,84.0,0.0,6500.0
Himachal Pradesh,2006,133.0,45.0,178.0,178.0,0.0,0.0,0.0,29.0,21.0,2.0,0.0,0.0,14.0,135.0,14.0,51100.0,0.0,100.0,29.0,129.0,1.0,16.0,3.0,13.0,112.0,0.0,11400.0
Delhi,2008,145.0,45.0,190.0,76.0,30.0,0.0,0.0,46.0,23.0,13.0,33.0,0.0,30.0,124.0,13.0,114500.0,0.0,371.0,46.0,417.0,3.0,66.0,51.0,15.0,348.0,0.0,463000.0
Delhi,2009,124.0,45.0,169.0,25.0,4.0,0.0,0.0,21.0,14.0,3.0,21.0,0.0,4.0,154.0,23.0,120400.0,0.0,348.0,21.0,369.0,1.0,63.0,44.0,19.0,305.0,0.0,6150000.0
Tamil Nadu,2001,131.0,43.0,174.0,174.0,0.0,0.0,2.0,5.0,8.0,0.0,4.0,3.0,22.0,130.0,4.0,4296791.0,0.0,140.0,5.0,145.0,0.0,8.0,0.0,8.0,137.0,0.0,0.0
Uttar Pradesh,2005,56.0,41.0,97.0,97.0,0.0,0.0,0.0,34.0,34.0,8.0,4.0,0.0,6.0,74.0,0.0,0.0,0.0,296.0,37.0,333.0,0.0,13.0,4.0,9.0,320.0,0.0,0.0
Madhya Pradesh,2008,57.0,41.0,98.0,98.0,0.0,0.0,0.0,42.0,10.0,0.0,0.0,0.0,3.0,84.0,5.0,27568478.0,0.0,344.0,42.0,386.0,2.0,134.0,53.0,81.0,250.0,52.4,5660951.0
Delhi,2010,154.0,39.0,193.0,17.0,6.0,0.0,0.0,11.0,22.0,5.0,24.0,0.0,6.0,176.0,17.0,130000.0,0.0,305.0,11.0,316.0,2.0,91.0,53.0,38.0,223.0,0.0,1217000.0
Chhattisgarh,2005,82.0,37.0,119.0,105.0,0.0,0.0,0.0,21.0,37.0,0.0,0.0,0.0,4.0,57.0,36.0,4766175.0,0.0,137.0,21.0,158.0,0.0,31.0,15.0,16.0,127.0,0.0,50000.0
Madhya Pradesh,2006,83.0,37.0,120.0,120.0,0.0,0.0,0.0,83.0,31.0,0.0,2.0,0.0,9.0,49.0,0.0,0.0,88.4,585.0,83.0,668.0,2.0,270.0,172.0,98.0,396.0,63.0,5592578.0
Jharkhand,2003,80.0,36.0,116.0,29.0,0.0,0.0,0.0,29.0,33.0,22.0,0.0,0.0,0.0,80.0,72.0,195500.0,0.0,217.0,22.0,116.0,1.0,0.0,4.0,0.0,213.0,0.0,11000.0
Himachal Pradesh,2002,149.0,33.0,182.0,182.0,0.0,0.0,0.0,23.0,38.0,17.0,0.0,0.0,9.0,150.0,12.0,12700.0,0.0,84.0,23.0,107.0,3.0,16.0,6.0,10.0,88.0,0.0,66000.0
Bihar,2004,179.0,31.0,210.0,210.0,0.0,0.0,0.0,17.0,31.0,0.0,0.0,0.0,0.0,219.0,11.0,27000.0,0.0,0.0,0.0,0.0,0.0,7.0,6.0,1.0,357.0,0.0,22500.0
Uttar Pradesh,2010,91.0,30.0,121.0,121.0,0.0,0.0,0.0,51.0,43.0,43.0,0.0,0.0,18.0,125.0,0.0,0.0,0.0,586.0,51.0,637.0,0.0,89.0,67.0,22.0,548.0,0.0,0.0
Madhya Pradesh,2005,107.0,29.0,136.0,136.0,0.0,0.0,0.0,133.0,86.0,0.0,3.0,0.0,14.0,0.0,3.0,1552012.0,89.9,636.0,133.0,769.0,8.0,184.0,85.0,91.0,585.0,48.0,360900.0
Jammu & Kashmir,2004,298.0,27.0,325.0,112.0,0.0,0.0,0.0,7.0,17.0,0.0,54.0,0.0,76.0,213.0,0.0,0.0,0.0,377.0,7.0,384.0,13.0,54.0,4.0,50.0,317.0,0.0,63000.0
Chhattisgarh,2008,95.0,27.0,122.0,119.0,0.0,0.0,0.0,18.0,40.0,0.0,0.0,0.0,6.0,85.0,27.0,126900.0,0.0,129.0,18.0,147.0,1.0,28.0,9.0,19.0,118.0,0.0,32300.0
Jharkhand,2008,97.0,27.0,124.0,124.0,0.0,0.0,0.0,33.0,17.0,23.0,22.0,33.0,2.0,97.0,24.0,365000.0,26.6,38.0,24.0,62.0,1.0,0.0,0.0,0.0,272.0,0.0,0.0
Jharkhand,2009,97.0,27.0,124.0,124.0,0.0,0.0,0.0,33.0,17.0,23.0,22.0,33.0,2.0,97.0,24.0,365000.0,26.6,38.0,24.0,62.0,1.0,0.0,0.0,0.0,272.0,0.0,0.0
Assam,2003,48.0,26.0,74.0,74.0,0.0,0.0,0.0,7.0,13.0,7.0,0.0,0.0,0.0,48.0,0.0,0.0,0.0,31.0,7.0,38.0,0.0,0.0,0.0,0.0,38.0,0.0,0.0
Jharkhand,2004,92.0,26.0,118.0,31.0,0.0,0.0,0.0,31.0,38.0,31.0,26.0,0.0,0.0,92.0,0.0,27400.0,2.0,31.0,31.0,1.0,11.0,1.0,2.0,0.0,2.0,0.0,0.0
Uttar Pradesh,2004,23.0,26.0,49.0,49.0,0.0,0.0,0.0,27.0,48.0,10.0,1.0,0.0,4.0,56.0,0.0,0.0,0.0,278.0,27.0,305.0,4.0,5.0,1.0,4.0,296.0,0.0,0.0
Sikkim,2001,34.0,25.0,59.0,59.0,1.0,1.0,1.0,4.0,0.0,0.0,0.0,0.0,12.0,33.0,0.0,0.0,0.0,17.0,4.0,21.0,0.0,6.0,3.0,3.0,15.0,0.0,8000.0
Nagaland,2010,32.0,23.0,55.0,55.0,1.0,0.0,0.0,3.0,2.0,2.0,0.0,2.0,8.0,20.0,1.0,132000.0,0.0,8.0,3.0,11.0,2.0,1.0,0.0,1.0,8.0,0.0,0.0
Bihar,2003,174.0,22.0,196.0,196.0,0.0,0.0,0.0,16.0,30.0,16.0,0.0,0.0,0.0,179.0,2.0,300000.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
Sikkim,2008,33.0,22.0,55.0,55.0,0.0,0.0,0.0,2.0,0.0,0.0,4.0,0.0,3.0,50.0,1.0,568430.0,0.0,27.0,2.0,29.0,1.0,6.0,3.0,3.0,22.0,0.0,9000.0
Sikkim,2002,33.0,21.0,54.0,54.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,7.0,42.0,0.0,0.0,0.0,15.0,5.0,20.0,0.0,4.0,3.0,1.0,16.0,0.0,5000.0
Bihar,2005,319.0,21.0,340.0,340.0,0.0,0.0,0.0,23.0,0.0,43.0,0.0,0.0,0.0,227.0,6.0,18400.0,0.0,347.0,30.0,377.0,2.0,3.0,3.0,0.0,372.0,0.0,0.0
Himachal Pradesh,2004,152.0,20.0,172.0,172.0,0.0,0.0,0.0,28.0,19.0,11.0,1.0,0.0,12.0,133.0,8.0,29200.0,0.0,82.0,28.0,110.0,1.0,29.0,11.0,18.0,80.0,0.0,41000.0
Chhattisgarh,2007,88.0,20.0,108.0,93.0,0.0,0.0,0.0,7.0,28.0,0.0,0.0,0.0,5.0,95.0,19.0,1784300.0,0.0,134.0,7.0,141.0,0.0,12.0,4.0,8.0,129.0,0.0,20000.0
Sikkim,2007,30.0,18.0,48.0,48.0,0.0,0.0,0.0,9.0,0.0,0.0,4.0,0.0,6.0,33.0,2.0,797927.0,0.0,25.0,9.0,34.0,0.0,7.0,5.0,2.0,27.0,0.0,35500.0
Assam,2001,31.0,17.0,48.0,48.0,0.0,0.0,1.0,8.0,16.0,8.0,0.0,0.0,1.0,39.0,0.0,0.0,0.0,22.0,8.0,30.0,0.0,1.0,0.0,1.0,29.0,0.0,0.0
Bihar,2001,232.0,17.0,249.0,249.0,0.0,0.0,0.0,17.0,36.0,18.0,0.0,0.0,0.0,171.0,5.0,155500.0,0.0,326.0,17.0,343.0,2.0,3.0,3.0,0.0,338.0,0.0,0.0
Assam,2004,54.0,17.0,71.0,71.0,0.0,0.0,0.0,2.0,17.0,0.0,0.0,0.0,0.0,54.0,0.0,0.0,38.0,2.0,40.0,0.0,0.0,0.0,0.0,0.0,38.0,0.0,0.0
Chhattisgarh,2004,92.0,16.0,108.0,92.0,0.0,0.0,0.0,23.0,37.0,0.0,0.0,0.0,3.0,82.0,16.0,247537.0,0.0,143.0,23.0,166.0,0.0,29.0,18.0,11.0,137.0,0.0,56200.0
Sikkim,2005,29.0,16.0,45.0,45.0,0.0,0.0,0.0,7.0,1.0,0.0,2.0,0.0,5.0,33.0,0.0,0.0,0.0,22.0,7.0,29.0,1.0,3.0,3.0,0.0,25.0,0.0,7000.0
Jharkhand,2007,97.0,16.0,113.0,113.0,0.0,0.0,2.0,20.0,13.0,22.0,14.0,20.0,2.0,91.0,14.0,143000.0,90.0,168.0,22.0,192.0,0.0,0.0,0.0,0.0,192.0,0.0,0.0
Chhattisgarh,2003,107.0,15.0,122.0,101.0,0.0,1.0,0.0,28.0,38.0,0.0,0.0,0.0,1.0,92.0,13.0,4671240.0,0.0,148.0,28.0,176.0,0.0,33.0,23.0,10.0,143.0,0.0,123700.0
Jharkhand,2006,94.0,15.0,109.0,109.0,0.0,0.0,0.0,12.0,28.0,12.0,12.0,12.0,0.0,97.0,15.0,46700.0,100.0,156.0,12.0,167.0,0.0,1.0,1.0,0.0,167.0,100.0,2000.0
Chandigarh,2006,18.0,13.0,31.0,31.0,1.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,23.0,0.0,0.0,0.0,18.0,8.0,26.0,0.0,2.0,0.0,2.0,24.0,0.0,0.0
Bihar,2002,171.0,12.0,183.0,183.0,0.0,0.0,0.0,8.0,35.0,8.0,0.0,0.0,0.0,174.0,2.0,9000.0,0.0,338.0,8.0,346.0,4.0,5.0,4.0,1.0,337.0,0.0,6000.0
Sikkim,2004,42.0,12.0,54.0,54.0,0.0,0.0,0.0,8.0,0.0,2.0,6.0,0.0,17.0,29.0,1.0,16616.0,0.0,19.0,8.0,27.0,3.0,2.0,1.0,1.0,22.0,0.0,35000.0
Assam,2002,39.0,11.0,50.0,50.0,0.0,0.0,0.0,2.0,17.0,2.0,0.0,0.0,0.0,39.0,0.0,0.0,0.0,29.0,2.0,31.0,0.0,0.0,0.0,0.0,31.0,0.0,0.0
Uttarakhand,2004,15.0,11.0,26.0,4.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,12.0,1.0,4000.0,0.0,10.0,4.0,14.0,0.0,1.0,0.0,1.0,13.0,0.0,0.0
Uttarakhand,2006,18.0,11.0,29.0,2.0,0.0,0.0,0.0,2.0,1.0,2.0,1.0,1.0,0.0,27.0,2.0,7000.0,0.0,15.0,2.0,17.0,0.0,0.0,0.0,0.0,17.0,0.0,0.0
Chandigarh,2008,26.0,11.0,37.0,37.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,29.0,0.0,0.0,0.0,25.0,8.0,33.0,0.0,4.0,3.0,1.0,29.0,0.0,0.0
Goa,2001,4.0,10.0,14.0,14.0,0.0,0.0,0.0,3.0,0.0,1.0,0.0,0.0,0.0,11.0,0.0,0.0,0.0,18.0,3.0,21.0,0.0,1.0,0.0,1.0,20.0,0.0,0.0
Goa,2002,11.0,10.0,21.0,21.0,0.0,0.0,0.0,5.0,0.0,3.0,0.0,0.0,0.0,16.0,1.0,10000.0,23.8,20.0,5.0,25.0,1.0,3.0,0.0,3.0,21.0,0.0,0.0
Sikkim,2006,33.0,10.0,43.0,43.0,0.0,0.0,0.0,5.0,0.0,0.0,3.0,1.0,8.0,30.0,0.0,0.0,0.0,25.0,5.0,30.0,2.0,3.0,3.0,0.0,25.0,19000.0,0.0
Assam,2005,69.0,9.0,78.0,78.0,0.0,0.0,0.0,1.0,22.0,1.0,0.0,0.0,0.0,69.0,0.0,0.0,0.0,40.0,1.0,41.0,0.0,1.0,1.0,0.0,40.0,0.0,0.0
Nagaland,2009,26.0,9.0,35.0,35.0,1.0,0.0,0.0,7.0,3.0,0.0,0.0,2.0,0.0,13.0,2.0,28695375.0,0.0,8.0,7.0,15.0,0.0,1.0,12.0,2.0,8.0,0.0,0.0
Mizoram,2010,8.0,9.0,17.0,13.0,4.0,0.0,0.0,3.0,2.0,1.0,1.0,3.0,1.0,9.0,0.0,48042484.0,18.0,4.0,3.0,7.0,0.0,2.0,0.0,2.0,5.0,0.0,0.0
Sikkim,2010,48.0,9.0,57.0,57.0,0.0,0.0,0.0,5.0,0.0,0.0,2.0,0.0,7.0,45.0,0.0,0.0,0.0,26.0,5.0,31.0,0.0,1.0,0.0,1.0,30.0,0.0,0.0
Chandigarh,2001,7.0,8.0,15.0,15.0,1.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,11.0,0.0,0.0,0.0,10.0,3.0,13.0,0.0,1.0,0.0,1.0,12.0,0.0,0.0
Manipur,2002,9.0,8.0,17.0,17.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,16.0,0.0,0.0,0.0,11.0,1.0,12.0,1.0,0.0,0.0,0.0,11.0,0.0,0.0
Uttarakhand,2005,12.0,8.0,20.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,18.0,1.0,116800.0,0.0,13.0,2.0,15.0,0.0,0.0,0.0,0.0,15.0,0.0,0.0
