Area_Name,Year,AC01_No_of_cases_pending_investigation_from_previous_year,AC02_No_of_cases_registered_during_the_year,AC03_Total_No_of_cases_for_investigation_during_the_year,AC04_No_of_cases_investigated_during_the_year,AC05_No_of_cases_not_investigatedor_in_which_investigation_was_dropped_due_to_any_reason_during_the_year,AC06_No_of_cases_transferred_to_local_police_during_the_year,AC07_No_of_cases_declared_false_mistake_of_fact_or_of_law_or_non_cognizable_or_civil_in_nature,AC08_No_of_cases_in_which_charge_sheets_were_laid_during_the_year,AC09_No_of_cases_pending_departmental_sanction_for_prosecution_during_the_year,AC10_No_of_cases_sent_up_for_trial_and_also_reported_for_departmental_action_during_the_year,AC11_No_of_cases_reported_for_regular_departmental_action_during_the_year,AC12_No_of_cases_reported_for_suitable_action_during_the_year,AC13_No_of_cases_in_which_charge_sheets_were_not_laid_but_final_report_submitted_during_the_year,AC14_No_of_cases_pending_investigation_at_the_end_of_the_year,AC15_No_of_cases_resulted_in_recoveries_or_seizures_during_the_year,AC16_Value_of_property_recoveredseized_during_the_year_in_Rs,AC17_Percentage_of_cases_charge_sheeted_to_total_cases_investigated,AC18_No_of_cases_pending_trial_from_the_previous_year,AC19_No_of_cases_sent_up_for_trial_during_the_year,AC20_Total_No_of_cases_for_trial_during_the_year,AC21_No_of_cases_withdrawn_or_other_wise_disposed_off_on_account_of_death_of_the_accused_during_the_year,AC22_No_of_cases_in_which_trials_were_completed_during_the_year,AC23_No_of_cases_convicted_during_the_year,AC24_No_of_cases_acquitted_or_discharged_during_the_year,AC25_No_of_cases_pending_trial_at_the_end_of_the_year,AC26_Percentage_of_cases_convicted_to_cases_in_which_trials_were_completed_during_the_year,AC27_Total_amount_of_fine_imposed_during_the_year_in_Rs
Karnataka,2008,330.0,389.0,719.0,719.0,10.0,12.0,32.0,164.0,119.0,81.0,4.0,81.0,70.0,623.0,370.0,59166948.0,22.9,805.0,164.0,969.0,3.0,122.0,17.0,105.0,844.0,13.1,281391.0
Punjab,2004,476.0,384.0,860.0,343.0,57.0,1.0,10.0,290.0,136.0,131.0,0.0,38.0,0.0,476.0,0.0,0.0,0.0,936.0,290.0,1226.0,10.0,222.0,100.0,122.0,994.0,0.0,1035500.0
Rajasthan,2006,1006.0,377.0,1383.0,1383.0,0.0,0.0,0.0,351.0,245.0,134.0,134.0,0.0,159.0,873.0,251.0,984840.0,0.0,1157.0,351.0,1508.0,0.0,181.0,44.0,137.0,1327.0,24.3,227400.0
Odisha,2009,536.0,375.0,911.0,911.0,0.0,0.0,29.0,229.0,120.0,133.0,36.0,5.0,5.0,656.0,161.0,20247272.0,0.0,2541.0,229.0,2770.0,18.0,129.0,68.0,81.0,2523.0,0.0,2538400.0
Tamil Nadu,2010,492.0,354.0,846.0,846.0,0.0,0.0,0.0,258.0,91.0,73.0,100.0,151.0,167.0,390.0,166.0,3506607.0,0.0,399.0,258.0,657.0,15.0,65.0,24.0,41.0,577.0,0.0,157650.0
Rajasthan,2007,873.0,350.0,1223.0,1223.0,0.0,0.0,0.0,269.0,262.0,292.0,292.0,0.0,125.0,836.0,219.0,1227600.0,0.0,1327.0,269.0,1596.0,0.0,159.0,56.0,101.0,1439.0,0.0,630400.0
Andhra Pradesh,2002,302.0,345.0,647.0,287.0,6.0,1.0,0.0,322.0,24.0,0.0,64.0,1.0,66.0,353.0,264.0,1082280.0,0.0,630.0,322.0,952.0,0.0,88.0,47.0,41.0,864.0,0.0,62900.0
Rajasthan,2003,1155.0,336.0,1491.0,1491.0,0.0,0.0,0.0,228.0,350.0,0.0,118.0,0.0,95.0,1210.0,214.0,710975.0,0.0,837.0,228.0,1065.0,0.0,143.0,48.0,95.0,922.0,0.0,439200.0
Rajasthan,2009,719.0,336.0,1055.0,1055.0,0.0,0.0,0.0,230.0,236.0,111.0,111.0,44.0,85.0,740.0,228.0,1224030.0,0.0,1670.0,230.0,1893.0,8.0,68.0,23.0,45.0,1817.0,0.0,397300.0
Andhra Pradesh,2008,193.0,330.0,523.0,249.0,2.0,0.0,0.0,132.0,18.0,158.0,9.0,0.0,18.0,280.0,234.0,2915830.0,0.0,1012.0,132.0,1144.0,5.0,174.0,118.0,56.0,965.0,0.0,440750.0
Andhra Pradesh,2003,353.0,328.0,681.0,278.0,5.0,0.0,0.0,181.0,37.0,23.0,41.0,0.0,30.0,389.0,256.0,1149625.0,0.0,864.0,181.0,1045.0,4.0,98.0,41.0,57.0,943.0,0.0,131000.0
Rajasthan,2008,836.0,327.0,1163.0,1163.0,0.0,0.0,0.0,373.0,260.0,158.0,158.0,0.0,71.0,719.0,227.0,2754840.0,0.0,1439.0,355.0,1794.0,6.0,118.0,52.0,66.0,1670.0,0.0,476200.0
Tamil Nadu,2008,154.0,323.0,477.0,477.0,0.0,0.0,0.0,160.0,55.0,57.0,115.0,111.0,141.0,347.0,108.0,14083601.0,0.0,242.0,160.0,402.0,9.0,85.0,46.0,39.0,308.0,0.0,373000.0
Andhra Pradesh,2009,280.0,322.0,602.0,306.0,4.0,0.0,0.0,210.0,38.0,200.0,9.0,0.0,38.0,293.0,238.0,3019800.0,0.0,965.0,210.0,1175.0,2.0,151.0,92.0,59.0,1022.0,0.0,440750.0
Karnataka,2005,142.0,313.0,455.0,455.0,5.0,1.0,0.0,172.0,81.0,0.0,0.0,0.0,0.0,196.0,39.0,19463623.0,0.0,683.0,172.0,855.0,6.0,271.0,42.0,229.0,578.0,0.0,1815431.0
Punjab,2006,522.0,312.0,834.0,358.0,7.0,2.0,18.0,265.0,174.0,265.0,0.0,7.0,94.0,476.0,104.0,620700.0,0.0,1113.0,265.0,1378.0,5.0,193.0,50.0,143.0,1180.0,0.0,233900.0
Rajasthan,2005,1051.0,311.0,1362.0,1362.0,0.0,0.0,0.0,242.0,247.0,0.0,103.0,0.0,114.0,1006.0,197.0,603400.0,0.0,1031.0,242.0,1273.0,0.0,116.0,39.0,77.0,1157.0,35.8,892500.0
Haryana,2006,214.0,307.0,521.0,355.0,0.0,0.0,2.0,200.0,25.0,101.0,0.0,0.0,11.0,325.0,118.0,803595.0,0.0,532.0,200.0,732.0,4.0,98.0,26.0,72.0,630.0,0.0,152700.0
Karnataka,2007,276.0,307.0,583.0,439.0,25.0,1.0,36.0,206.0,121.0,105.0,1.0,38.0,67.0,330.0,143.0,18445043.0,0.0,202.0,206.0,408.0,8.0,151.0,30.0,121.0,249.0,0.0,183500.0
Odisha,2008,389.0,303.0,692.0,692.0,0.0,0.0,7.0,210.0,114.0,72.0,36.0,22.0,28.0,536.0,47.0,98482855.0,30.0,2481.0,210.0,2691.0,17.0,133.0,54.0,79.0,2541.0,41.0,3311800.0
Odisha,2003,322.0,302.0,624.0,624.0,0.0,0.0,3.0,280.0,60.0,97.0,74.0,0.0,63.0,298.0,144.0,96480401.0,1818.0,280.0,2098.0,2098.0,13.0,64.0,14.0,50.0,2021.0,0.0,25750.0
Rajasthan,2004,1210.0,294.0,1504.0,1504.0,0.0,0.0,0.0,234.0,299.0,0.0,61.0,0.0,119.0,1051.0,213.0,621290.0,0.0,922.0,256.0,1178.0,0.0,147.0,46.0,101.0,1031.0,0.0,825000.0
Odisha,2001,330.0,293.0,623.0,623.0,0.0,0.0,1.0,161.0,29.0,120.0,157.0,4.0,155.0,317.0,121.0,10909932.0,0.0,1620.0,161.0,1781.0,7.0,43.0,9.0,34.0,1731.0,0.0,2630830.0
Odisha,2005,410.0,291.0,701.0,701.0,0.0,1.0,0.0,182.0,48.0,91.0,69.0,6.0,53.0,342.0,114.0,14469388.0,0.0,2152.0,182.0,2334.0,4.0,67.0,19.0,48.0,2263.0,0.0,20000.0
Karnataka,2006,196.0,288.0,484.0,484.0,0.0,0.0,50.0,158.0,121.0,145.0,145.0,1.0,50.0,276.0,197.0,17693027.0,0.0,578.0,158.0,736.0,2.0,224.0,22.0,202.0,510.0,0.0,204400.0
Odisha,2006,342.0,288.0,630.0,630.0,0.0,5.0,9.0,183.0,63.0,91.0,85.0,7.0,49.0,384.0,70.0,11551999.0,0.0,2263.0,183.0,2446.0,2.0,104.0,40.0,64.0,2340.0,0.0,265500.0
Odisha,2007,384.0,286.0,670.0,670.0,0.0,0.0,0.0,253.0,62.0,152.0,86.0,6.0,28.0,389.0,58.0,72106819.0,0.0,2340.0,253.0,2593.0,17.0,95.0,37.0,58.0,2481.0,0.0,297700.0
Odisha,2002,317.0,283.0,600.0,600.0,0.0,0.0,5.0,172.0,48.0,87.0,99.0,0.0,120.0,322.0,98.0,11788835.0,0.0,1731.0,172.0,1903.0,8.0,77.0,7.0,70.0,1818.0,0.0,1901.0
Punjab,2002,341.0,282.0,623.0,226.0,46.0,1.0,0.0,180.0,103.0,1.0,0.0,0.0,0.0,348.0,0.0,0.0,0.0,874.0,180.0,0.0,9.0,165.0,80.0,85.0,0.0,0.0,213000.0
Punjab,2003,341.0,282.0,623.0,226.0,46.0,1.0,0.0,180.0,103.0,1.0,0.0,0.0,0.0,348.0,0.0,0.0,0.0,874.0,180.0,0.0,9.0,165.0,80.0,85.0,0.0,0.0,213000.0
Odisha,2004,298.0,272.0,570.0,570.0,2.0,1.0,4.0,192.0,33.0,107.0,71.0,2.0,49.0,410.0,86.0,94799369.0,0.0,2021.0,192.0,2213.0,5.0,56.0,12.0,44.0,2152.0,0.0,20000.0
Andhra Pradesh,2010,293.0,272.0,565.0,261.0,1.0,1.0,0.0,211.0,19.0,184.0,10.0,0.0,19.0,305.0,259.0,83948386.0,0.0,1022.0,211.0,1233.0,11.0,141.0,90.0,51.0,1081.0,0.0,324700.0
Madhya Pradesh,2002,234.0,271.0,505.0,505.0,0.0,0.0,0.0,197.0,185.0,0.0,2.0,0.0,39.0,270.0,37.0,19589932.0,0.0,567.0,196.0,763.0,6.0,129.0,65.0,58.0,634.0,0.0,1925492.0
