Area_Name,Year,ACA01_No_of_persons_in_custody_or_on_bail_during_the_stage_of_investigation_at_the_beginning_of_the_year,ACA02_No_of_persons_arrested_during_the_year,ACA04_No_of_persons_in_custody_or_on_bail_during_the_stage_of_investigation_at_the_end_of_the_year,ACA05_No_of_persons_in_whose_cases_charge_sheets_were_laid_during_the_year,ACA06_No_of_persons_under_trial_at_the_beginning_of_the_year,ACA07_Total_No_of_persons_under_trial_during_the_year,ACA08_No_of_persons_whose_cases_were_withdrawn_or_otherwise_disposed_off_during_the_year,ACA09_No_of_persons_in_custody_or_on_bail_during_the_stage_of_trial_at_the_end_of_the_year,ACA10_No_of_persons_in_whose_cases_trials_were_completed_during_the_year,ACA11_No_of_persons_convicted_during_the_year,ACA12_No_of_persons_acquitted_during_the_year,ACA13_Percentage_of_persons_convicted_to_total_persons_in_whose_cases_trials_were_completed_during_the_year,ACA14_No_of_persons_involved_in_the_cases_reported_for_Regular_Departmental_Action_during_the_year,ACA15_No_of_persons_involved_in_the_cases_reported_for_suitable_action_during_the_year,ACA16_No_of_persons_punished_departmentally_during_the_year:,ACA161_No_of_persons_dismissed_from_Service_during_the_year,ACA162_No_of_persons_removed_from_service_during_the_year,ACA163_No_of_persons_awarded_other_major_punishments_during_the_year,ACA164_No_of_persons_awarded_minor_punishments_during_the_year,ACA171_No_of_Group_`A'_Officers_out_of_above,ACA172_No_of_Group_`B'_Officers_out_of_above,ACA19_No_of_private_persons_involved_during_the_year
Odisha,2004,104.0,386.0,81.0,386.0,2081.0,2467.0,10.0,2379.0,78.0,13.0,65.0,0.0,132.0,0.0,13.0,0.0,1.0,9.0,3.0,71.0,106.0,107.0
Andhra Pradesh,2002,154.0,384.0,209.0,255.0,586.0,841.0,2.0,749.0,90.0,47.0,45.0,0.0,43.0,2.0,0.0,2.0,0.0,1.0,5.0,126.0,0.0,5.0
Karnataka,2008,181.0,380.0,264.0,164.0,873.0,1037.0,3.0,928.0,125.0,20.0,106.0,16.0,81.0,81.0,0.0,4.0,0.0,0.0,0.0,52.0,46.0,30.0
Haryana,2003,1097.0,366.0,1099.0,353.0,2284.0,2637.0,19.0,2546.0,72.0,27.0,45.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,24.0,74.0
Andhra Pradesh,2008,629.0,362.0,830.0,161.0,1091.0,1252.0,5.0,1017.0,230.0,151.0,79.0,0.0,0.0,0.0,0.0,4.0,1.0,45.0,29.0,0.0,0.0,62.0
Karnataka,2005,142.0,340.0,165.0,172.0,1043.0,1215.0,6.0,938.0,271.0,42.0,229.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,41.0,45.0,27.0
Haryana,2002,906.0,337.0,1097.0,137.0,2238.0,2375.0,23.0,2284.0,68.0,10.0,58.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.0,37.0,315.0
Haryana,2008,940.0,335.0,901.0,347.0,2532.0,2879.0,52.0,2605.0,222.0,46.0,176.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,24.0,15.0
Punjab,2006,523.0,329.0,330.0,423.0,1244.0,1667.0,23.0,1393.0,251.0,62.0,189.0,0.0,0.0,8.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,61.0
Andhra Pradesh,2009,830.0,323.0,895.0,258.0,1017.0,1275.0,3.0,1025.0,247.0,110.0,137.0,0.0,0.0,0.0,0.0,8.0,0.0,25.0,12.0,0.0,0.0,42.0
Karnataka,2006,165.0,318.0,250.0,183.0,938.0,1121.0,11.0,848.0,262.0,27.0,235.0,0.0,145.0,1.0,10.0,9.0,1.0,0.0,0.0,48.0,57.0,11.0
Tamil Nadu,2008,142.0,306.0,68.0,249.0,1292.0,1541.0,26.0,1349.0,166.0,63.0,103.0,0.0,266.0,140.0,0.0,13.0,2.0,27.0,47.0,15.0,138.0,106.0
Odisha,2002,75.0,300.0,65.0,257.0,1789.0,2046.0,16.0,1953.0,77.0,7.0,70.0,127.0,7.0,0.0,0.0,2.0,0.0,54.0,109.0,0.0,0.0,0.0
Andhra Pradesh,2005,443.0,300.0,498.0,245.0,1138.0,1383.0,2.0,1218.0,163.0,89.0,74.0,0.0,7.0,0.0,0.0,34.0,4.0,2.0,27.0,0.0,0.0,7.0
Madhya Pradesh,2003,476.0,296.0,0.0,208.0,747.0,955.0,4.0,811.0,140.0,64.0,72.0,0.0,31.0,0.0,31.0,0.0,0.0,0.0,0.0,21.0,45.0,11.0
Punjab,2007,330.0,296.0,212.0,329.0,1393.0,1722.0,49.0,1450.0,223.0,70.0,153.0,0.0,0.0,3.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,88.0
Tamil Nadu,2010,258.0,296.0,173.0,322.0,1389.0,1711.0,38.0,1418.0,255.0,31.0,224.0,0.0,187.0,206.0,97.0,12.0,4.0,29.0,52.0,5.0,226.0,90.0
Gujarat,2008,120.0,295.0,115.0,140.0,1028.0,1168.0,40.0,928.0,200.0,70.0,130.0,0.0,15.0,24.0,6.0,1.0,1.0,0.0,4.0,4.0,36.0,29.0
Andhra Pradesh,2007,533.0,292.0,629.0,196.0,1200.0,1396.0,7.0,1091.0,298.0,188.0,110.0,0.0,90.0,0.0,0.0,14.0,2.0,45.0,2.0,0.0,0.0,5.0
Punjab,2008,212.0,290.0,195.0,237.0,1450.0,1687.0,20.0,1421.0,246.0,80.0,166.0,0.0,0.0,17.0,0.0,23.0,0.0,0.0,0.0,0.0,0.0,106.0
Andhra Pradesh,2006,498.0,285.0,533.0,250.0,1218.0,1468.0,2.0,1200.0,266.0,149.0,117.0,0.0,15.0,0.0,84.0,65.0,2.0,8.0,9.0,0.0,0.0,4.0
Haryana,2007,989.0,285.0,940.0,307.0,2655.0,2962.0,26.0,2532.0,404.0,42.0,362.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,17.0,32.0
Karnataka,2007,250.0,284.0,181.0,252.0,848.0,1100.0,56.0,873.0,171.0,35.0,136.0,0.0,1.0,20.0,0.0,0.0,1.0,0.0,0.0,31.0,58.0,14.0
Gujarat,2001,27.0,281.0,44.0,262.0,1903.0,2165.0,2.0,1998.0,165.0,24.0,141.0,0.0,9.0,0.0,2.0,0.0,0.0,0.0,2.0,35.0,6.0,18.0
Gujarat,2009,115.0,276.0,144.0,247.0,928.0,1175.0,9.0,959.0,207.0,66.0,141.0,0.0,9.0,36.0,16.0,5.0,6.0,0.0,5.0,11.0,38.0,21.0
Odisha,2003,65.0,261.0,104.0,210.0,1953.0,2163.0,18.0,2081.0,64.0,14.0,50.0,0.0,0.0,153.0,0.0,0.0,77.0,77.0,35.0,207.0,89.0,141.0
Haryana,2004,1099.0,259.0,1059.0,272.0,2546.0,2818.0,2.0,2580.0,236.0,51.0,185.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,23.0,130.0
Tamil Nadu,2003,525.0,252.0,586.0,191.0,358.0,549.0,0.0,510.0,39.0,23.0,16.0,0.0,27.0,0.0,0.0,9.0,1.0,22.0,6.0,5.0,84.0,15.0
Rajasthan,2006,436.0,251.0,390.0,297.0,2482.0,3599.0,0.0,3144.0,455.0,97.0,358.0,0.0,134.0,134.0,42.0,0.0,2.0,26.0,14.0,0.0,0.0,0.0
Tamil Nadu,2002,448.0,249.0,525.0,172.0,274.0,446.0,1.0,358.0,87.0,72.0,15.0,0.0,3.0,0.0,7.0,5.0,100.0,6.0,0.0,5.0,69.0,14.0
Gujarat,2004,125.0,247.0,125.0,247.0,1998.0,2245.0,18.0,1915.0,312.0,100.0,212.0,0.0,1.0,0.0,9.0,4.0,1.0,4.0,0.0,28.0,13.0,34.0
Andhra Pradesh,2010,895.0,245.0,873.0,267.0,1025.0,1292.0,28.0,1072.0,192.0,109.0,83.0,0.0,11.0,0.0,77.0,5.0,3.0,38.0,31.0,0.0,0.0,28.0
Andhra Pradesh,2004,402.0,240.0,443.0,199.0,1039.0,1238.0,0.0,1138.0,100.0,49.0,51.0,0.0,35.0,1.0,0.0,26.0,0.0,0.0,15.0,0.0,0.0,5.0
Odisha,2001,78.0,239.0,75.0,151.0,1708.0,1859.0,7.0,1789.0,63.0,10.0,53.0,0.0,208.0,5.0,13.0,0.0,0.0,9.0,4.0,77.0,71.0,46.0
Gujarat,2005,125.0,239.0,125.0,239.0,1915.0,2154.0,5.0,1694.0,455.0,122.0,333.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,21.0,37.0,32.0
Odisha,2007,35.0,239.0,26.0,232.0,2549.0,2781.0,16.0,2641.0,124.0,46.0,78.0,0.0,62.0,27.0,0.0,1.0,2.0,3.0,4.0,93.0,90.0,193.0
Himachal Pradesh,2009,206.0,239.0,272.0,170.0,526.0,701.0,2.0,524.0,175.0,14.0,161.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,8.0,96.0
Odisha,2006,74.0,238.0,35.0,238.0,2514.0,2752.0,6.0,2549.0,197.0,55.0,142.0,0.0,178.0,15.0,10.0,0.0,0.0,8.0,2.0,55.0,40.0,93.0
Haryana,2005,1059.0,236.0,1014.0,239.0,2580.0,2819.0,5.0,2525.0,289.0,80.0,209.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,26.0,106.0
Haryana,2009,1020.0,233.0,968.0,184.0,2522.0,2559.0,15.0,2219.0,420.0,104.0,316.0,0.0,0.0,0.0,16.0,16.0,0.0,0.0,0.0,5.0,10.0,40.0
Gujarat,2006,125.0,229.0,125.0,229.0,1694.0,1923.0,8.0,1492.0,423.0,130.0,293.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,24.0
Gujarat,2002,44.0,228.0,108.0,160.0,1998.0,2158.0,16.0,1988.0,154.0,39.0,115.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,38.0,5.0,179.0
Rajasthan,2009,335.0,228.0,381.0,432.0,3663.0,4095.0,0.0,4019.0,76.0,23.0,53.0,0.0,179.0,70.0,73.0,0.0,0.0,11.0,15.0,34.0,39.0,0.0
Bihar,2008,20.0,227.0,31.0,216.0,959.0,1175.0,0.0,1166.0,9.0,8.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,56.0,25.0
Rajasthan,2008,377.0,227.0,335.0,635.0,3231.0,3866.0,0.0,3663.0,203.0,72.0,131.0,0.0,158.0,158.0,0.0,1.0,5.0,14.0,0.0,0.0,28.0,0.0
Madhya Pradesh,2002,693.0,226.0,0.0,251.0,997.0,1248.0,6.0,1058.0,190.0,74.0,95.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,31.0,67.0,24.0
Gujarat,2007,125.0,225.0,120.0,120.0,1492.0,1612.0,90.0,1028.0,494.0,167.0,327.0,87.0,5.0,9.0,4.0,0.0,0.0,0.0,4.0,27.0,11.0,19.0
Rajasthan,2010,381.0,225.0,366.0,454.0,4019.0,4473.0,9.0,4338.0,135.0,14.0,121.0,0.0,183.0,69.0,12.0,0.0,0.0,7.0,5.0,80.0,46.0,0.0
Tamil Nadu,2005,583.0,224.0,733.0,74.0,609.0,683.0,2.0,627.0,54.0,27.0,27.0,0.0,28.0,1.0,0.0,5.0,1.0,17.0,0.0,5.0,65.0,13.0
Rajasthan,2007,390.0,223.0,377.0,548.0,2827.0,3692.0,0.0,3231.0,461.0,169.0,292.0,0.0,292.0,292.0,32.0,0.0,0.0,13.0,19.0,7.0,0.0,0.0
Tamil Nadu,2007,811.0,223.0,142.0,784.0,642.0,1426.0,46.0,1292.0,88.0,43.0,45.0,0.0,396.0,171.0,65.0,13.0,3.0,24.0,25.0,12.0,148.0,131.0
Odisha,2005,81.0,219.0,74.0,219.0,2379.0,2598.0,6.0,2514.0,78.0,19.0,59.0,0.0,111.0,10.0,23.0,1.0,1.0,13.0,8.0,64.0,161.0,165.0
Rajasthan,2001,196.0,216.0,118.0,294.0,2109.0,2403.0,0.0,2058.0,345.0,77.0,268.0,0.0,139.0,139.0,30.0,1.0,1.0,4.0,24.0,0.0,11.0,0.0
Rajasthan,2002,196.0,216.0,294.0,463.0,2109.0,2572.0,0.0,2227.0,345.0,77.0,268.0,0.0,139.0,139.0,30.0,1.0,1.0,4.0,24.0,0.0,11.0,0.0
Rajasthan,2003,387.0,214.0,420.0,385.0,2383.0,2768.0,0.0,2421.0,347.0,106.0,241.0,0.0,118.0,118.0,23.0,0.0,0.0,0.0,23.0,0.0,21.0,0.0
Rajasthan,2004,420.0,213.0,428.0,516.0,2491.0,3007.0,0.0,2610.0,397.0,108.0,289.0,0.0,61.0,61.0,0.0,0.0,0.0,1.0,5.0,0.0,5.0,0.0
Gujarat,2003,108.0,212.0,125.0,195.0,1988.0,2183.0,8.0,1998.0,177.0,55.0,122.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,50.0,4.0,231.0
Bihar,2009,31.0,203.0,42.0,192.0,1166.0,1358.0,0.0,1353.0,5.0,3.0,2.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,40.0,21.0
Karnataka,2001,473.0,202.0,425.0,98.0,1145.0,1243.0,7.0,1062.0,174.0,15.0,159.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,24.0,32.0,6.0
Andhra Pradesh,2001,92.0,201.0,54.0,156.0,479.0,635.0,5.0,586.0,44.0,22.0,22.0,0.0,17.0,0.0,13.0,0.0,0.0,0.0,13.0,0.0,0.0,5.0
Haryana,2001,1805.0,198.0,906.0,1090.0,1235.0,2325.0,24.0,2238.0,63.0,4.0,59.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,43.0,79.0
Rajasthan,2005,428.0,197.0,436.0,189.0,2610.0,2799.0,0.0,2482.0,317.0,96.0,221.0,0.0,103.0,103.0,26.0,0.0,0.0,1.0,25.0,0.0,0.0,0.0
Himachal Pradesh,2010,272.0,187.0,263.0,189.0,524.0,713.0,4.0,626.0,83.0,11.0,72.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,83.0
Punjab,2009,195.0,182.0,57.0,265.0,1421.0,1686.0,17.0,1135.0,534.0,164.0,370.0,0.0,3.0,26.0,0.0,52.0,0.0,0.0,0.0,0.0,0.0,59.0
Himachal Pradesh,2007,186.0,177.0,184.0,119.0,426.0,545.0,26.0,417.0,105.0,1.0,88.0,0.0,5.0,6.0,0.0,0.0,0.0,0.0,0.0,10.0,46.0,105.0
Karnataka,2002,425.0,175.0,221.0,159.0,1062.0,1221.0,32.0,1967.0,122.0,9.0,113.0,0.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,54.0,107.0,14.0
Bihar,2010,42.0,160.0,65.0,137.0,1353.0,1490.0,3.0,1475.0,12.0,10.0,2.0,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,42.0,15.0
Himachal Pradesh,2008,209.0,153.0,206.0,115.0,514.0,629.0,0.0,526.0,103.0,12.0,91.0,0.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,66.0
Tamil Nadu,2004,586.0,144.0,583.0,147.0,510.0,657.0,3.0,609.0,42.0,26.0,16.0,0.0,24.0,0.0,5.0,2.0,19.0,28.0,0.0,0.0,41.0,5.0
Tamil Nadu,2006,733.0,135.0,811.0,57.0,627.0,684.0,1.0,642.0,41.0,20.0,21.0,0.0,3.0,0.0,20.0,2.0,1.0,2.0,15.0,3.0,38.0,6.0
Jammu & Kashmir,2001,204.0,134.0,259.0,79.0,2108.0,2187.0,4.0,2146.0,37.0,6.0,31.0,14.6,140.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,44.0,9.0
Jammu & Kashmir,2007,39.0,131.0,0.0,160.0,2086.0,2246.0,26.0,2172.0,48.0,5.0,43.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,22.0,22.0,18.0
Jammu & Kashmir,2008,0.0,131.0,0.0,131.0,2172.0,2303.0,2.0,2208.0,93.0,6.0,87.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0
Jammu & Kashmir,2009,0.0,131.0,0.0,131.0,2172.0,2303.0,2.0,2208.0,93.0,6.0,87.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0
Uttar Pradesh,2007,152.0,130.0,168.0,115.0,476.0,591.0,0.0,576.0,15.0,2.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
