Area_Name,Year,Group_Name,Sub_Group_Name,Cases_Property_Recovered,Cases_Property_Stolen,Value_of_Property_Recovered,Value_of_Property_Stolen
Karnataka,2008,Fire arms - Property,5. Fire Arms,2032,8842,181450958,440257666
Karnataka,2008,Fire arms - Property,6. Explosives/Explosive Substances,2032,8842,181450958,440257666
Karnataka,2009,Fire arms - Property,5. Fire Arms,2613,10990,225620794,599324425
Karnataka,2009,Fire arms - Property,6. Explosives/Explosive Substances,2613,10990,225620794,599324425
Karnataka,2010,Fire arms - Property,5. Fire Arms,3211,10302,339001206,519717486
Karnataka,2010,Fire arms - Property,6. Explosives/Explosive Substances,3211,10302,339001206,519717486
Karnataka,2001,Motor Vehicles - Motor car/Taxi/Jeep - Property,4.2 Motor Vehicles - Motor Car/Taxi/Jeep,806,1879,6414141,14365854
Karnataka,2002,Motor Vehicles - Motor car/Taxi/Jeep - Property,4.2 Motor Vehicles - Motor Car/Taxi/Jeep,193,509,3687943,11219770
Karnataka,2003,Motor Vehicles - Motor car/Taxi/Jeep - Property,4.2 Motor Vehicles - Motor Car/Taxi/Jeep,247,674,4475197,14119117
Karnataka,2004,Motor Vehicles - Motor car/Taxi/Jeep - Property,4.2 Motor Vehicles - Motor Car/Taxi/Jeep,227,794,6406768,20384449
Karnataka,2005,Motor Vehicles - Motor car/Taxi/Jeep - Property,4.2 Motor Vehicles - Motor Car/Taxi/Jeep,350,1067,6280814,21671176
Karnataka,2006,Motor Vehicles - Motor car/Taxi/Jeep - Property,4.2 Motor Vehicles - Motor Car/Taxi/Jeep,366,910,5439794,20856182
Karnataka,2007,Motor Vehicles - Motor car/Taxi/Jeep - Property,4.2 Motor Vehicles - Motor Car/Taxi/Jeep,232,626,6879763,21295741
Karnataka,2008,Motor Vehicles - Motor car/Taxi/Jeep - Property,4.2 Motor Vehicles - Motor Car/Taxi/Jeep,220,704,5943554,23317370
Karnataka,2009,Motor Vehicles - Motor car/Taxi/Jeep - Property,4.2 Motor Vehicles - Motor Car/Taxi/Jeep,262,805,6855445,19894741
Karnataka,2010,Motor Vehicles - Motor car/Taxi/Jeep - Property,4.2 Motor Vehicles - Motor Car/Taxi/Jeep,180,539,5383785,22836655
Karnataka,2001,Motor Vehicles - Others - Property,4.3 Motor Vehicles - Other Motor Vehicles,143,546,2933868,10991600
Karnataka,2002,Motor Vehicles - Others - Property,4.3 Motor Vehicles - Other Motor Vehicles,5,10,2500,51450
Karnataka,2003,Motor Vehicles - Others - Property,4.3 Motor Vehicles - Other Motor Vehicles,53,222,2044286,6583796
Karnataka,2004,Motor Vehicles - Others - Property,4.3 Motor Vehicles - Other Motor Vehicles,10,19,85000,162500
Karnataka,2005,Motor Vehicles - Others - Property,4.3 Motor Vehicles - Other Motor Vehicles,1,6,18000,108100
Karnataka,2006,Motor Vehicles - Others - Property,4.3 Motor Vehicles - Other Motor Vehicles,99,404,3205100,16397106
